original_text,english_text
. PDTI disponível em https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/relatorios/plano-diretor-de-tecnologia-da-informacao-e-comunicacoes/pdti-2023-2024.pdf/view,. PDTI disponível em https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/relatorios/plano-diretor-de-tecnologia-da-informacao-e-comunicacoes/pdti-2023-2024.pdf/view
A modo de ejemplo: https://www.dipres.gob.cl/598/w3-propertyvalue-25291.html,A modo de ejemplo: https://www.dipres.gob.cl/598/w3-propertyvalue-25291.html
Acceso a la Plataforma es la siguiente: www.sigep.gob.bo,Acceso a la Plataforma es la siguiente: www.sigep.gob.bo
SERCOP rendición de cuentas: https://portal.compraspublicas.gob.ec/sercop/rendicion-de-cuentas-2022/,SERCOP rendición de cuentas: https://portal.compraspublicas.gob.ec/sercop/rendicion-de-cuentas-2022/
http://epymodel.uaa.edu.py/ https://dgvs.mspbs.gov.py/registro_y_vigilancia_de_tumores/ https://dgvs.mspbs.gov.py/delegados-del-cdc-y-ops-visitan-el-pais/,http://epymodel.uaa.edu.py/ https://dgvs.mspbs.gov.py/registro_y_vigilancia_de_tumores/ https://dgvs.mspbs.gov.py/delegados-del-cdc-y-ops-visitan-el-pais/
http://h1.honducompras.gob.hn/ https://oncae.gob.hn/biblioteca-virtual/manuales-y-guias,http://h1.honducompras.gob.hn/ https://oncae.gob.hn/biblioteca-virtual/manuales-y-guias
http://sicc.honducompras.gob.hn/HC/procesos/busquedahistorico.aspx,http://sicc.honducompras.gob.hn/HC/procesos/busquedahistorico.aspx
https://Tableau.bra.gov.bb,https://Tableau.bra.gov.bb
https://Tamis.bra.gov.bb https://portal.bra.gov.bb https://bill.bra.gov.bb https://Tableau.bra.gov.bb Vailtech - Land Tax,https://Tamis.bra.gov.bb https://portal.bra.gov.bb https://bill.bra.gov.bb https://Tableau.bra.gov.bb Vailtech - Land Tax
https://amie.educacion.gob.ec/asesoriaIE/asesoria.php y https://educacion.gob.ec/datos-abiertos/,https://amie.educacion.gob.ec/asesoriaIE/asesoria.php y https://educacion.gob.ec/datos-abiertos/
https://bz-moeys.openemis.org/core/ https://www.openemis.org/,https://bz-moeys.openemis.org/core/ https://www.openemis.org/
https://dgi.mef.gob.pa/Transparencia/Boletin.php,https://dgi.mef.gob.pa/Transparencia/Boletin.php
https://dgvs.mspbs.gov.py/ https://dgvs.mspbs.gov.py/arbovirosis/,https://dgvs.mspbs.gov.py/ https://dgvs.mspbs.gov.py/arbovirosis/
